Time, Date, Latitude, Longitude, Latitudedegree, Longitudedegree, Speed, GPSangle, Altitude
0:49:50, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,118.19,0
0:49:51, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,118.19,19.2
0:49:51, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0,40.57,19.2
0:49:52, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0,40.57,19.2
0:49:52, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.06,310.23,19.2
0:49:53, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.06,310.23,19.2
0:49:53, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,326.61,19.2
0:49:54, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,326.61,19.2
0:49:54, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.05,250.48,19.2
0:49:55, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.05,250.48,19.2
0:49:55, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,178.89,19.2
0:49:56, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,178.89,19.2
0:49:56, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0,283.97,19.2
0:49:57, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0,283.97,19.2
0:49:57, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,306.13,19.2
0:49:58, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,306.13,19.2
0:49:58, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,223.78,19.2
0:49:59, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,223.78,19.2
0:49:59, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,245.76,19.2
0:50:00, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,245.76,19.2
0:50:00, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,52.91,19.2
0:50:01, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,52.91,19.2
0:50:01, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.03,253.41,19.2
0:50:02, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.03,253.41,19.2
0:50:02, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,269.31,19.2
0:50:03, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,269.31,19.2
0:50:03, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.03,78.62,19.2
0:50:04, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.03,78.62,19.2
0:50:04, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,185.23,19.2
0:50:05, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,185.23,19.2
0:50:05, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,143.83,19.2
0:50:06, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,143.83,19.2
0:50:06, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.04,167.38,19.2
0:50:07, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.04,167.38,19.2
0:50:07, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,232.08,19.2
0:50:08, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,232.08,19.2
0:50:08, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,237.5,19.2
0:50:09, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,237.5,19.2
0:50:09, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,197.8,19.2
0:50:10, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.01,197.8,19.2
0:50:10, 19/11/2017, 3751.2338N, 12216.5986W,37.8539,-122.2766,0.02,76.87,19.2
